Name,Neighborhood/City,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42 Grams,Uptown,,,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,,,
Acadia,South Loop,,,1 Michelin star,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Alinea,Lincoln Park,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars
Avenues,Magnificent Mile,2 Michelin stars,,,,,,,,,
Band of Bohemia,Ravenswood,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Blackbird,West Loop,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Boka,Lincoln Park,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Bonsoirée,Logan Square,1 Michelin star,1 Michelin star,,,,,,,,
Charlie Trotter's,Lincoln Park,2 Michelin stars,2 Michelin stars,,,,,,,,
Crofton on Wells,River North,1 Michelin star,,,,,,,,,
Courtright's,Willow Springs,,1 Michelin star,,,,,,,,
Dusek's Board & Beer,Pilsen,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,
EL Ideas,Douglas Park,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Elizabeth,Ravenswood,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Elske,West Loop,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
Entente,River North,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
Everest,Loop,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Goosefoot,Ravenswood,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Grace,West Loop,,,,2 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,,
Graham Elliot,River North,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars,,,,,,
GreenRiver,Streeterville,,,,,,,1 Michelin star,1 Michelin star,,
Kikko,West Loop,,,,,,,,,,1 Michelin star
L2O,Lincoln Park,3 Michelin stars,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,,,,,
Longman & Eagle,Logan Square,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,
Mako,West Loop,,,,,,,,,,1 Michelin star
Mexique,West Town,,,1 Michelin star,1 Michelin star,,,,,,
Moto,Fulton Market,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,
NAHA,River North,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
Next,Fulton Market,,,,,,,,,,1 Michelin star
NoMI,Magnificent Mile,1 Michelin star,,,,,,,,,
North Pond,Lincoln Park,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Omakase Yume,West Loop,,,,,,,,,,1 Michelin star
Oriole,West Loop,,,,,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Parachute,Avondale,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
RIA,Gold Coast,2 Michelin stars,2 Michelin stars,,,,,,,,
Roister,Fulton Market,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,
Schwa,West Town,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Seasons,Magnificent Mile,1 Michelin star,1 Michelin star,,,,,,,,
Senza,Lakeview East,,,,,1 Michelin star,,,,,
Sepia,West Loop,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Sixteen,River North,1 Michelin star,,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,,
Smyth,West Loop,,,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars
Spiaggia,Magnificent Mile,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Takashi,Bucktown,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,
Temporis,West Town,,,,,,,,,1 Michelin star,1 Michelin star
Topolobampo,River North,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
The Lobby,Magnificent Mile,,,,1 Michelin star,,,,,,
Tru,Streeterville,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,2 Michelin stars,,,
Vie,Western Springs,1 Michelin star,1 Michelin star,,,,,,,,
Yūgen,West Loop,,,,,,,,,,1 Michelin star
