Name,City/Neighborhood,2019
Acquerello,San Francisco - Polk Gulch,2 Michelin stars
Al's Place,San Francisco - Mission District,1 Michelin star
Angler,San Francisco - Financial District,1 Michelin star
Auberge du Soleil,Rutherford,1 Michelin star
Aubergine,Monterey,1 Michelin star
Atelier Crenn,San Francisco - Cow Hollow,3 Michelin stars
Bar Crenn,San Francisco - Cow Hollow,1 Michelin star
Baumé,Palo Alto,2 Michelin stars
Benu,San Francisco - SoMa,3 Michelin stars
Birdsong,San Francisco - SoMa,1 Michelin star
Bouchon,Yountville,1 Michelin star
Californios,San Francisco - Mission District,2 Michelin stars
Campton Place,San Francisco - Union Square,2 Michelin stars
Chez TJ,Mountain View,1 Michelin star
Coi,San Francisco - North Beach,2 Michelin stars
Commis,Oakland,2 Michelin stars
Commonwealth,San Francisco - Mission District,1 Michelin star
Farmhouse Inn & Restaurant,Forestville,1 Michelin star
Gary Danko,San Francisco - North Beach,1 Michelin star
Harbor House,Elk,1 Michelin star
Hashiri,San Francisco - SoMa,1 Michelin star
In Situ,San Francisco - SoMa,1 Michelin star
Jū-Ni,San Francisco - North Panhandle,1 Michelin star
Keiko à Nob Hill,San Francisco - Nob Hill,1 Michelin star
Kenzo,Napa,1 Michelin star
Kin Khao,San Francisco - Union Square,1 Michelin star
Kinjo,San Francisco - Russian Hill,1 Michelin star
La Toque,Napa,1 Michelin star
Lazy Bear,San Francisco - Mission District,2 Michelin stars
Lord Stanley,San Francisco - Nob Hill,1 Michelin star
Luce,San Francisco - SoMa,1 Michelin star
Madcap,San Anselmo,1 Michelin star
Madera,Menlo Park,1 Michelin star
Madrona Manor,Healdsburg,1 Michelin star
Manresa,Los Gatos,3 Michelin stars
Maum,Palo Alto,1 Michelin star
Michael Mina,San Francisco - Financial District,1 Michelin star
Mister Jiu's,San Francisco - Chinatown,1 Michelin star
Mourad,San Francisco - SoMa,1 Michelin star
Nico,San Francisco - Financial District,1 Michelin star
Octavia,San Francisco - Lower Pacific Heights,1 Michelin star
Omakase,San Francisco - SoMa,1 Michelin star
Plumed Horse,Saratoga,1 Michelin star
Protegé,Palo Alto,1 Michelin star
Quince,San Francisco - Jackson Square,3 Michelin stars
Rasa,Burlingame,1 Michelin star
Rich Table,San Francisco - Hayes Valley,1 Michelin star
Saison,San Francisco - SoMa,2 Michelin stars
SingleThread,Healdsburg,3 Michelin stars
Sons & Daughters,San Francisco - Nob Hill,1 Michelin star
Sorrel,San Francisco - Lower Pacific Heights,1 Michelin star
SPQR,San Francisco - Fillmore,1 Michelin star
Spruce,San Francisco - Presidio Heights,1 Michelin star
State Bird Provisions,San Francisco - Fillmore,1 Michelin star
Sushi Yoshizumi,San Mateo,1 Michelin star
The French Laundry,Yountville,3 Michelin stars
The Kitchen,Sacramento,1 Michelin star
The Progress,San Francisco - Fillmore,1 Michelin star
The Restaurant at Meadowood,St. Helena,3 Michelin stars
The Village Pub,Woodside,1 Michelin star
Wako,San Francisco - Richmond District,1 Michelin star
Wakuriya,San Mateo,1 Michelin star
